LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,DONALD J TRUMP,CLAUDIA DE LA CRUZ,KAMALA D HARRIS,R F KENNEDY JR,CHASE OLIVER,JILL STEIN,
ACTON,0050002B,6001,42,Y, ,POLLING PLACE,46,19,0,24,1,1,0, 
ACTON,0050002B,6001,42,Y, ,VBM PORTION,1,1,0,0,0,0,0, 
ACTON,0050002B,6001,42,Y,3,TOTAL,47,20,0,24,1,1,0, 
ACTON,0050002G,6002,41,Y, ,POLLING PLACE,1,0,0,1,0,0,0, 
ACTON,0050002G,6002,41,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050002G,6002,41,Y,0,TOTAL,1,0,0,1,0,0,0, 
ACTON,0050003A,6003,7,Y, ,POLLING PLACE,536,460,1,73,1,1,0, 
ACTON,0050003A,6003,7,Y, ,VBM PORTION,740,449,2,261,12,4,1, 
ACTON,0050003A,6003,7,Y,1695,TOTAL,1276,909,3,334,13,5,1, 
ACTON,0050005A,1,7,N, ,POLLING PLACE,1158,947,1,175,16,5,5, 
ACTON,0050005A,1,7,N, ,VBM PORTION,1574,869,2,624,20,11,7, 
ACTON,0050005A,1,7,N,3474,TOTAL,2732,1816,3,799,36,16,12, 
ACTON,0050007B,6004,56,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ACTON,0050007B,6004,56,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050007B,6004,56,Y,0,TOTAL,0,0,0,0,0,0,0, 
ACTON,0050010A,6005,205,Y, ,POLLING PLACE,2,2,0,0,0,0,0, 
ACTON,0050010A,6005,205,Y, ,VBM PORTION,1,1,0,0,0,0,0, 
ACTON,0050010A,6005,205,Y,2,TOTAL,3,3,0,0,0,0,0, 
ACTON,0050014A,6006,12,Y, ,POLLING PLACE,207,167,0,34,1,1,1, 
ACTON,0050014A,6006,12,Y, ,VBM PORTION,353,195,1,148,4,2,1, 
ACTON,0050014A,6006,12,Y,726,TOTAL,560,362,1,182,5,3,2, 
ACTON,0050015A,6007,12,Y, ,POLLING PLACE,1,1,0,0,0,0,0, 
ACTON,0050015A,6007,12,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050015A,6007,12,Y,0,TOTAL,1,1,0,0,0,0,0, 
ACTON,0050022D,6008,12,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ACTON,0050022D,6008,12,Y, ,VBM PORTION,2,1,0,1,0,0,0, 
ACTON,0050022D,6008,12,Y,5,TOTAL,2,1,0,1,0,0,0, 
ACTON,0050023D,6009,45,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ACTON,0050023D,6009,45,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050023D,6009,45,Y,0,TOTAL,0,0,0,0,0,0,0, 
ACTON,0050025H,6010,12,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ACTON,0050025H,6010,12,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050025H,6010,12,Y,0,TOTAL,0,0,0,0,0,0,0, 
ACTON,0050027A,6011,164,Y, ,POLLING PLACE,1,0,0,1,0,0,0, 
ACTON,0050027A,6011,164,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050027A,6011,164,Y,0,TOTAL,1,0,0,1,0,0,0, 
ACTON,0050029A,6012,47,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ACTON,0050029A,6012,47,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050029A,6012,47,Y,0,TOTAL,0,0,0,0,0,0,0, 
ACTON,0050037A,6013,45,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ACTON,0050037A,6013,45,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050037A,6013,45,Y,0,TOTAL,0,0,0,0,0,0,0, 
ACTON,0050042A,6014,44,Y, ,POLLING PLACE,1,0,0,1,0,0,0, 
ACTON,0050042A,6014,44,Y, ,VBM PORTION,2,2,0,0,0,0,0, 
ACTON,0050042A,6014,44,Y,4,TOTAL,3,2,0,1,0,0,0, 
ACTON,0050055A,6015,167,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ACTON,0050055A,6015,167,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050055A,6015,167,Y,0,TOTAL,0,0,0,0,0,0,0, 
ACTON,0050066A,6016,167,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
ACTON,0050066A,6016,167,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
ACTON,0050066A,6016,167,Y,0,TOTAL,0,0,0,0,0,0,0, 
AGOURA,0070001A,6017,245,Y, ,POLLING PLACE,221,154,1,58,0,2,4, 
AGOURA,0070001A,6017,245,Y, ,VBM PORTION,564,243,0,295,3,1,4, 
AGOURA,0070001A,6017,245,Y,1027,TOTAL,785,397,1,353,3,3,8, 
AGOURA,0070002A,6018,236,Y, ,POLLING PLACE,18,13,0,3,0,1,1, 
AGOURA,0070002A,6018,236,Y, ,VBM PORTION,58,23,0,26,1,1,0, 
AGOURA,0070002A,6018,236,Y,96,TOTAL,76,36,0,29,1,2,1, 
